feature,pearson,spearman,p_value,abs_r
max_repulsion_7F,0.17519482763775174,0.23102814774631786,0.01286103776632732,0.17519482763775174
intramol_7F,0.16823045405628528,0.21909500371619697,0.016975292379452667,0.16823045405628528
hbond_total_8Y,0.16124162404941483,0.12165426271554856,0.022212118070318827,0.16124162404941483
Rel_W371_chi2_cos,0.15490197033335215,0.15260528777631727,0.02811429164357196,0.15490197033335215
Rel_D114_lig_min_dist,0.151192542557674,0.1193323849131568,0.032154295141067366,0.151192542557674
Rel_Y91_lig_min_dist,0.15025610474337367,0.11963474487740833,0.033248954979238264,0.15025610474337367
W110_chi1_7F,0.1432296701650828,0.15663539618261565,0.042515670161292325,0.1432296701650828
Dif_D114_lig_min_dist,0.13791266599942464,0.10050031222527576,0.050891378798068994,0.13791266599942464
Dif_F367_chi1,-0.1375315699439726,0.08602194020695957,0.05154102438437195,0.1375315699439726
F367_chi1_7F,0.1375315699439726,-0.08602194020695957,0.05154102438437195,0.1375315699439726
num_favorable_atoms_8Y,-0.13302471178087794,-0.15492167774151985,0.05975952245599405,0.13302471178087794
W371_shift_7F,-0.13277277743005392,-0.008000344112444177,0.06024908553591604,0.13277277743005392
Dif_num_clash_atoms,-0.1306228438400318,-0.14430551909535105,0.06456250916724281,0.1306228438400318
Dif_cnn_affinity,-0.13043665593919246,-0.0749055133807304,0.06494766801538673,0.13043665593919246
num_clash_atoms_8Y,-0.12739226926941272,-0.12528317560870847,0.07151666673154965,0.12739226926941272
Affinity_8Y,0.125226024551141,0.15648814999386088,0.07651220363875065,0.125226024551141
Dif_W371_shift,0.12506240363612792,-0.028908273941544316,0.0769007197196786,0.12506240363612792
D114_lig_min_dist_7F,-0.1238678846623763,-0.07552271781900129,0.07978567718475497,0.1238678846623763
Dif_Y115_lig_min_dist,0.12337090866368043,0.06638242784832682,0.08101138995830244,0.12337090866368043
CNN score pose_8Y,-0.12221970886640338,-0.1254537889259551,0.08390894991128389,0.12221970886640338
W371_chi1_7F,0.12068305299329522,0.05098879204470442,0.08790581692576384,0.12068305299329522
W371_shift_8Y,-0.11991703235565569,-0.1508140452497123,0.08995440381135791,0.11991703235565569
hbond_total_7F,-0.11768559963752337,-0.09264108735691139,0.09613994477772543,0.11768559963752337
Rel_num_clash_atoms,-0.11496334021129778,-0.1412365292964943,0.10413824721523883,0.11496334021129778
Dif_Y91_lig_min_dist,0.11366490270540124,0.08026732967857655,0.10813360904697453,0.11366490270540124
Rel_F398_chi2_sin,0.11247208538604654,0.11252595901862433,0.11190917496201944,0.11247208538604654
Rel_W110_chi2_sin,0.11246942504712766,0.1489821430702128,0.11191770947203754,0.11246942504712766
Dif_W110_chi2,0.11160092563619889,0.1489821430702128,0.11473124133097379,0.11160092563619889
Y374_shift_8Y,-0.1098443254430734,-0.04551297054585489,0.12059035064920551,0.1098443254430734
Y91_lig_min_dist_7F,-0.10881708082080765,-0.10588069320283715,0.12412287579814059,0.10881708082080765
CNN score pose_7F,-0.1064487014205704,-0.12416843379354892,0.13257233680341335,0.1064487014205704
Rel_Y115_chi1_cos,-0.1060412716848591,-0.05367815431570613,0.1340694353851033,0.1060412716848591
max_repulsion_8Y,-0.10440691283698245,0.01871157226203018,0.1402055775337126,0.10440691283698245
Rel_W371_shift,0.10291395089527822,-0.03943320990987918,0.14599614017498408,0.10291395089527822
Rel_Y91_chi1_sin,0.10222562356123564,0.24104722053491318,0.14872628130934223,0.10222562356123564
Dif_W371_chi1,-0.10069399227201949,0.019379912060659473,0.154939847509809,0.10069399227201949
R132_D131_min_dist_8Y,0.1001698983429957,0.0950563543359158,0.15711033192955762,0.1001698983429957
Rel_Y115_lig_min_dist,0.10000374223124427,0.07022143834798004,0.15780320463930794,0.10000374223124427
Rel_W110_chi2_cos,0.09849825675882694,0.1496437865127681,0.16418613438750604,0.09849825675882694
Rel_Y115_chi2_sin,0.09847417067763668,0.07282587393247422,0.16428980006906643,0.09847417067763668
Dif_F398_chi1,-0.09722937374619088,-0.08182718181689126,0.16971421370902728,0.09722937374619088
Rel_intamol,-0.09689108020130154,-0.2415657404877757,0.17121116119079116,0.09689108020130154
Dif_Y115_chi1,-0.09681819940874536,-0.08871865612551405,0.17153493908478343,0.09681819940874536
Y115_chi1_7F,0.0963628424186848,0.08419382970081526,0.17356819946996643,0.0963628424186848
F398_chi1_8Y,-0.09535524197210211,0.030355883592842425,0.17813077356706622,0.09535524197210211
Rel_Y115_chi1_sin,-0.09457939528577962,-0.08871865612551405,0.18170385063782896,0.09457939528577962
Rel_W371_chi1_sin,0.09448362297970353,0.10249729801542072,0.1821485531762536,0.09448362297970353
Rel_F367_shift,0.0941031870164957,0.21960278528297483,0.18392295587887594,0.0941031870164957
Rel_Y374_lig_min_dist,0.09180976504655754,0.05974159763103722,0.1948895350835261,0.09180976504655754
Y115_lig_min_dist_8Y,0.09042552412501872,0.06080170567195822,0.20173484772532774,0.09042552412501872
Dif_Y374_lig_min_dist,0.08999178283555259,0.04683326673667077,0.203915154979425,0.08999178283555259
Rel_F367_chi2_cos,-0.08975959298052993,-0.08392891623832667,0.20508928420560943,0.08975959298052993
Rel_W110_shift,-0.0896575267205324,-0.06597583131938223,0.20560694958825398,0.0896575267205324
Dif_W110_shift,-0.08765691941387489,-0.06554705679794974,0.21594462142681586,0.08765691941387489
Y115_chi2_7F,0.0870597099886912,0.02645021310747019,0.21910134787407987,0.0870597099886912
Y91_chi2_8Y,-0.0856305508198949,-0.10687030545474391,0.22678874901794666,0.0856305508198949
Rel_Y374_chi2_cos,-0.08483027927310101,-0.07836150085745079,0.23117583540627573,0.08483027927310101
Rel_Y115_chi2_cos,-0.08372982812835315,-0.034692294382385226,0.23730570944442672,0.08372982812835315
Y91_chi1_8Y,0.08287660837273662,0.10830981779429297,0.2421362223587469,0.08287660837273662
Rel_F398_chi1_sin,0.0820854358157021,0.06428808609105403,0.24667641894897568,0.0820854358157021
Y115_lig_min_dist_7F,-0.08195381021913417,-0.04020352551562512,0.24743746694508473,0.08195381021913417
Rel_W371_chi2_sin,-0.08189551676238262,-0.11726096041478817,0.24777503548386823,0.08189551676238262
W371_chi1_8Y,0.08140100018202766,0.16099127662337567,0.2506515753582417,0.08140100018202766
W371_chi2_8Y,0.07675208148564788,0.056502278314545996,0.27882603424508495,0.07675208148564788
Rel_affinity,0.07590845695390074,0.11331475628477683,0.2841594291569268,0.07590845695390074
D114_lig_min_dist_8Y,0.07488134084790939,0.04442843308456758,0.2907448012009123,0.07488134084790939
Y91_chi1_7F,0.07448653411195122,-0.18405965187421353,0.2933030054788096,0.07448653411195122
Dif_Y91_chi1,-0.07369411611304051,0.19337699854721513,0.2984826987990755,0.07369411611304051
Y91_shift_8Y,0.06735797660461519,0.09605697215800349,0.34206765740244527,0.06735797660461519
Y374_lig_min_dist_7F,-0.06697148629559303,-0.03288848432670375,0.3448508743344071,0.06697148629559303
